Unnamed: 0,Date,Score,Normalized_Score
506,2022-12-09,89.6,0.081029913
507,2022-12-16,47.6,0.041272245
508,2022-12-23,159.6,0.147292692
509,2022-12-30,66,0.05868989
510,2023-01-06,31.2,0.025747823
511,2023-01-13,59.2,0.052252934
512,2023-01-20,67.2,0.059825824
513,2023-01-27,114,0.104127225
514,2023-02-03,32.8,0.027262401
515,2023-02-10,93.6,0.084816357
516,2023-02-17,37.6,0.031806134
517,2023-02-24,52.8,0.046194623
518,2023-03-03,89.2,0.080651268
519,2023-03-10,73.6,0.065884135
520,2023-03-17,119.2,0.109049602
521,2023-03-24,151.2,0.139341159
522,2023-03-31,111.2,0.101476713
523,2023-04-07,35.2,0.029534267
524,2023-04-14,117.6,0.107535025
525,2023-04-21,104.4,0.095039758
526,2023-04-28,98.4,0.089360091
527,2023-05-05,85.2,0.076864824
528,2023-05-12,19.2,0.014388489
529,2023-05-19,27.6,0.022340023
530,2023-05-26,69.6,0.06209769
531,2023-06-02,114,0.104127225
532,2023-06-09,55.2,0.04846649
533,2023-06-16,196.8,0.182506626
534,2023-06-23,97.6,0.088602802
535,2023-06-30,74,0.066262779
536,2023-07-07,109.2,0.099583491
537,2023-07-14,114,0.104127225
538,2023-07-21,82.8,0.074592957
539,2023-07-28,146.4,0.134797425
540,2023-08-04,64,0.056796668
541,2023-08-11,34.4,0.028776978
542,2023-08-18,74.4,0.066641424
543,2023-08-25,114,0.104127225
544,2023-09-01,151.6,0.139719803
545,2023-09-08,43.2,0.037107156
546,2023-09-15,79.2,0.071185157
547,2023-09-22,36.8,0.031048845
548,2023-09-29,60,0.053010223
549,2023-10-06,88.8,0.080272624
